#lambda/nm	DC	C1
540.814	37907.6	38027.8
541.216	38069.4	38225.2
541.639	38153	38321.4
542.041	38310.8	38409.6
542.464	38445.2	38602.4
542.866	38593.6	38753.4
543.268	38852.6	38776.6
543.691	38841.8	38935
544.093	38985	39052.4
544.517	39099.2	39252.2
544.919	39256.6	39398
545.343	39442	39594.6
545.745	39508.2	39647.8
546.147	39639.4	39855.4
546.571	39776.6	39896.6
546.974	39881.6	40073.4
547.398	40047	40226
547.8	40228.2	40338
548.224	40386.4	40465.6
548.627	40490.6	40618.6
549.03	40513	40854.6
549.454	40675	40897.4
549.857	40835.4	40894
550.281	40967.8	41135.4
550.684	41068	41232.6
551.087	41209.6	41284
551.512	41388.8	41458.8
551.915	41475	41642.2
552.34	41557.8	41743.4
552.743	41674.2	41811
553.146	41900.2	41888.4
553.571	42029.4	42097.4
553.975	42219	42204
554.399	42248.8	42395.6
554.803	42419.2	42515.2
555.207	42549.2	42736.2
555.632	42685	42855.4
556.036	42754.6	42915.2
556.461	42873.4	43038.2
556.865	43131	43196
557.268	43172.4	43323.4
557.694	43280	43563.2
558.098	43408.4	43587.2
558.502	43595.2	43696.8
558.927	43831.6	43816.6
559.332	43952.2	44193.8
559.736	44179	44246.8
560.162	44220.2	44414.6
560.566	44410.2	44471
560.992	44498.2	44619.8
561.396	44682.6	44660.8
561.801	44780.4	44951.6
562.227	44900.4	45137.4
562.631	45149.8	45286.4
563.036	45280.2	45463
563.462	45560.2	45513
563.867	45612	45711.4
564.272	45731.6	45862.8
564.698	46010.4	45984.2
565.103	46000.8	46172.6
565.508	46283.2	46305.6
565.935	46368.8	46534.6
566.34	46502	46670.8
566.745	46803.6	46838.6
567.172	46788.6	46944.4
567.577	47076.4	47153.8
567.982	47150.2	47244.4
568.409	47295.2	47398
568.815	47505.8	47485.8
569.22	47663.8	47684.2
569.626	47727.6	47760.4
570.053	47841.4	47958.4
570.459	48026.4	48277.4
570.865	48118.2	48159.2
571.292	48283.2	48381.8
571.698	48414.6	48618.8
572.104	48456.6	48630.8
572.531	48602.8	48853.4
572.937	48752.4	48913.4
573.343	49078.8	49056.2
573.75	49055.8	49114
574.177	49162.6	49318
574.583	49151	49448.8
574.99	49398.6	49660
575.396	49585.8	49758.2
575.824	49673.4	49760.6
576.231	49812.8	50040.4
576.637	49937.4	50138.6
577.065	50099.6	50237
577.472	50226.8	50271.2
577.879	50286.2	50409.4
578.286	50481	50568.2
578.714	50558.6	50627
579.121	50621.4	50821.8
579.528	50789.8	50849.2
579.935	50767.6	50918.8
580.364	50955	51018.2
580.771	51000.4	51130.2
581.178	51084.6	51257
581.585	51355	51234.4
582.014	51268.6	51453.4
582.421	51345	51504.6
582.829	51434	51605
583.236	51551	51597
583.644	51649.6	51670.8
584.073	51709.8	51828.6
584.481	51741.8	51914
584.889	51808.6	51999.4
585.296	51771.6	51962.6
585.726	51953.2	51952
586.134	51935.8	52161.6
586.542	51981	52070
586.95	52090.4	52182.4
587.358	52012.8	52184.2
587.787	52226.8	52208
588.196	52201.2	52288.2
588.604	52204	52291.2
589.012	52301.8	52403
589.421	52305.6	52531.4
589.851	52353	52449
590.259	52344.2	52498
590.668	52431	52561
591.076	52394.6	52499.4
591.485	52440	52552
591.894	52459.6	52635
592.324	52369.6	52488.4
592.733	52439.4	52585.4
593.142	52481.8	52554.4
593.551	52315	52565.4
593.96	52396.6	52576.2
594.369	52326.2	52484.4
594.8	52429	52413.2
595.209	52287.2	52502
595.618	52255.2	52341.6
596.028	52319	52311.2
596.437	52236.4	52348.8
596.847	52091.8	52210.8
597.256	52115.2	52308.4
597.687	52053.6	52138.4
598.097	52015.2	52129.8
598.507	51959.6	52047.4
598.917	51865.8	52064.6
599.327	51870.2	52015.4
599.736	51878.2	51960.2
600.146	51743.4	52062.2
600.556	51567.6	51896
600.988	51677.2	51724.6
601.398	51612.6	51574.8
601.808	51479.4	51494
602.219	51423.2	51505.8
602.629	51216.2	51439.8
603.039	51288	51243.2
603.45	51132.4	51224.8
603.86	50883	51150.8
604.271	50879.6	51054
604.703	50735	50766.2
605.114	50647.8	50747.2
605.525	50591	50583
605.935	50523.8	50519.4
606.346	50259	50406.8
606.757	50162.4	50288.2
607.168	49954.8	50119
607.579	49850	50105.4
607.99	49727.8	49802.8
608.402	49630.6	49745.2
608.813	49602.4	49649.6
609.224	49326.6	49468.2
609.636	49320.8	49317.8
610.047	49083.4	49295
610.48	48972.6	49093.4
610.892	48908	48832.2
611.303	48758.6	48799
611.715	48525	48598.6
612.127	48316.2	48470.6
612.539	48200.6	48295.2
612.95	48091.8	48080.2
613.362	47837.6	48075
613.774	47667.6	47834.8
614.186	47547.8	47646.8
614.599	47345.4	47494.2
615.011	47171.8	47321.4
615.423	46924.6	47044.2
615.835	46821	46923.6
616.248	46597.2	46757.4
616.66	46336	46448
617.073	46205.4	46278.4
617.485	45931	46016.2
617.898	45770.8	45913.4
618.311	45465.8	45548.8
618.723	45412.8	45471
619.136	45217.8	45255.6
619.549	44916	45068.2
619.962	44745.4	44905
620.375	44589	44652.6
620.788	44322.8	44450
621.201	44061	44292.6
621.614	43949.2	44064.8
622.028	43732.8	43806.6
622.441	43435.2	43608.6
622.854	43224.4	43358.6
623.268	43009.8	43133.4
623.681	42762	42825.8
624.095	42514.2	42687.8
624.509	42342.8	42384.8
624.922	42102.4	42229.6
625.336	41922	41930
625.728	41614.2	41744.4
626.142	41420.6	41542.8
626.556	41087.2	41273.8
626.97	40843.6	41050
627.384	40640.2	40719
627.799	40383	40496.6
628.213	40158.4	40238.8
628.627	39940.4	40047
629.041	39798	39766.2
629.456	39507.2	39529.4
629.87	39106.6	39281
630.285	38966.4	39045.2
630.699	38747.2	38832.2
631.093	38404.8	38504.2
631.507	38164.4	38212.6
631.922	37912.2	38082
632.337	37633.6	37776.4
632.752	37345	37378.6
633.167	37110	37155.6
633.582	36796.4	36832.2
633.997	36494.2	36544.2
634.412	36233.8	36370.2
634.806	36026.6	36078.2
635.221	35673	35804.4
635.637	35438.4	35543.2
636.052	35224.6	35305.4
636.468	34889	35023.2
636.883	34669.2	34681.6
637.299	34340.6	34444.8
637.715	34078	34152.4
638.109	33796	33875.4
638.525	33500.2	33558.8
638.941	33166.8	33249.8
639.357	32772.8	32933.8
639.773	32554.8	32661.6
640.189	32166.4	32375.6
640.584	31973.6	32015.8
641	31688.2	31674.8
641.416	31374.4	31388.4
641.832	30937.6	31040.4
642.249	30726.4	30759.8
642.665	30385	30465.2
643.06	30092.8	30250.4
643.477	29913.6	29983.4
643.894	29612.2	29636.4
644.31	29312.4	29379
644.727	29096.6	29062.6
645.123	28760.8	28876.6
645.54	28417.4	28490.6
645.957	28173.4	28197.2
646.374	27914.4	28031.8
646.77	27790.2	27826.8
647.187	27535	27597.4
647.604	27368.2	27325.4
648.021	27066.6	27138
648.439	26860.8	26920.8
648.835	26597.2	26680.2
649.252	26425.6	26482.4
649.67	26154.4	26250.2
650.088	25989.4	26024.2
650.484	25748.4	25798.8
650.902	25492.8	25597.2
651.32	25295.6	25384.8
651.738	25123.2	25179
652.134	24973	25092.8
652.552	24774.8	24779.6
652.971	24593	24597
653.389	24233.6	24333.6
653.786	24012.8	24065.2
654.204	23756	23817.6
654.622	23546.6	23614.8
655.019	23383.2	23433.4
655.438	23217	23204.2
655.857	23007.4	23054
656.275	22727.6	22812
656.673	22502.8	22623
657.091	22390.2	22409
657.51	22231.2	22207
657.908	21963.8	21951.8
658.327	21663	21772.4
658.746	21492.2	21489.8
659.144	21237.6	21254
659.563	20970	21111.4
659.982	20793.8	20798
660.38	20523.2	20604
660.8	20287.4	20371.6
661.219	20099	20115
661.617	19896.8	19893.6
662.037	19657.4	19688.6
662.457	19434	19478.6
662.855	19175.2	19256
663.275	18968	19054.8
663.695	18763.2	18783.2
664.094	18503.6	18502
664.514	18254.6	18370
